benchmark,control,n_levels,baseline_runtime_s,baseline_board_J,verdict,best_dE_pct,worst_dt_pct,curve_pairs
osu,GPU_CORE_FREQUENCY_MAX_CONTROL,7,9.54373,20961.0,USEFUL_THRESHOLD,-10.68174228328801,0.18729574285945016,lit_0_4GHz:dE=-10.3%/dt=+0.0% | lit_0_6GHz:dE=-10.7%/dt=+0.1% | lit_0_8GHz:dE=-9.6%/dt=+0.1% | lit_1_0GHz:dE=-9.4%/dt=+0.2% | lit_1_2GHz:dE=-8.5%/dt=+0.0% | lit_1_4GHz:dE=-8.0%/dt=+0.2% | lit_1_6GHz:dE=-9.7%/dt=+0.1%
osu,GPU_POWER_TIME_WINDOW_CONTROL,2,9.56314,21027.0,NEGLIGIBLE,-0.3233937318685487,-0.020547644392976405,rb_half:dE=0.1%/dt=-0.0% | rb_double:dE=-0.3%/dt=-0.3%
osu,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,7,9.54581,20981.5,USEFUL_LINEAR,-12.074923146581519,0.20694943645431785,lit_0_0:dE=0.1%/dt=+0.1% | lit_0_2:dE=0.1%/dt=+0.1% | lit_0_4:dE=0.2%/dt=-0.1% | lit_0_5:dE=0.4%/dt=+0.2% | lit_0_6:dE=-1.8%/dt=+0.1% | lit_0_8:dE=-6.4%/dt=+0.0% | lit_1_0:dE=-12.1%/dt=+0.1%
stream,BOARD_POWER_LIMIT_CONTROL,8,9.887539219499999,12089.5,HARMFUL,-64.49811820174531,11.462294791861405,lit_5500W:dE=-1.4%/dt=+0.3% | lit_5000W:dE=-2.1%/dt=+0.3% | lit_4500W:dE=-3.4%/dt=+0.2% | lit_4000W:dE=-3.2%/dt=+0.2% | lit_3500W:dE=-3.5%/dt=+0.3% | lit_3000W:dE=-1.6%/dt=+0.3% | lit_2500W:dE=-9.7%/dt=+0.3% | lit_2000W:dE=-64.5%/dt=+11.5%
stream,BOARD_POWER_TIME_WINDOW_CONTROL,2,9.913136764,11582.0,NEGLIGIBLE,0.4532895872906284,0.09330835153602557,rb_half:dE=0.5%/dt=+0.0% | rb_double:dE=1.4%/dt=+0.1%
stream,CPU_FREQUENCY_MAX_CONTROL,7,9.923658573,11758.5,USEFUL_THRESHOLD,-68.1251860356338,0.31041884677300846,lit_1_0GHz:dE=-68.1%/dt=+0.3% | lit_1_2GHz:dE=-45.1%/dt=+0.0% | lit_1_6GHz:dE=-16.8%/dt=-0.3% | lit_2_0GHz:dE=-2.0%/dt=-0.0% | lit_2_5GHz:dE=0.8%/dt=-0.1% | lit_3_0GHz:dE=0.3%/dt=-0.1% | lit_3_5GHz:dE=1.0%/dt=-0.1%
stream,CPU_POWER_LIMIT_CONTROL,8,9.9023531375,11867.0,HARMFUL,-81.52018201735906,79.53825303576738,tdp_100:dE=0.4%/dt=+0.1% | tdp_90:dE=-7.7%/dt=+4.6% | tdp_80:dE=-26.8%/dt=+10.7% | tdp_70:dE=-81.5%/dt=+24.1% | tdp_60:dE=-73.1%/dt=+73.5% | tdp_50:dE=?/dt=+75.9% | tdp_40:dE=?/dt=+79.5% | tdp_30:dE=?/dt=+79.5%
stream,CPU_POWER_TIME_WINDOW_CONTROL,2,9.91708882,11592.0,NEGLIGIBLE,0.4183919944789505,0.02012221062270836,rb_half:dE=0.4%/dt=+0.0% | rb_double:dE=0.8%/dt=+0.0%
stream,CPU_UNCORE_FREQUENCY_MAX_CONTROL,5,9.9172588265,11685.5,HARMFUL,-0.3337469513499669,57.220591715692095,lit_0_8GHz:dE=117.8%/dt=+57.2% | lit_1_2GHz:dE=38.0%/dt=+12.0% | lit_1_6GHz:dE=17.2%/dt=+1.4% | lit_2_0GHz:dE=5.3%/dt=-0.6% | lit_2_3GHz:dE=-0.3%/dt=+0.0%
stream,DRAM_POWER_LIMIT_CONTROL,8,9.9336887335,12010.5,USEFUL_MILD,-2.8058781899171548,-0.09109057816041322,rb_100:dE=-1.8%/dt=-0.3% | rb_90:dE=-1.5%/dt=-0.1% | rb_80:dE=-1.9%/dt=-0.1% | rb_70:dE=-0.6%/dt=-0.2% | rb_60:dE=-1.2%/dt=-0.1% | rb_50:dE=-1.3%/dt=-0.1% | rb_40:dE=-2.8%/dt=-0.1% | rb_30:dE=-1.2%/dt=-0.3%
stream,GPU_CORE_FREQUENCY_MAX_CONTROL,7,9.9009776605,11688.5,USEFUL_THRESHOLD,-14.58270950079138,0.2589837224085345,lit_0_4GHz:dE=-14.6%/dt=-0.0% | lit_0_6GHz:dE=-12.8%/dt=+0.1% | lit_0_8GHz:dE=-12.7%/dt=+0.3% | lit_1_0GHz:dE=-9.9%/dt=+0.0% | lit_1_2GHz:dE=-7.2%/dt=+0.1% | lit_1_4GHz:dE=-7.0%/dt=+0.1% | lit_1_6GHz:dE=-9.6%/dt=+0.1%
stream,GPU_POWER_TIME_WINDOW_CONTROL,2,9.913282879,11628.5,FLAT,-0.2493872812486586,0.04245745885973484,rb_half:dE=-0.2%/dt=+0.0% | rb_double:dE=1.4%/dt=+0.0%
stream,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,7,9.913581908000001,11751.0,USEFUL_THRESHOLD,-11.701131818568633,0.05316528424246236,lit_0_0:dE=-0.7%/dt=+0.0% | lit_0_2:dE=0.0%/dt=-0.1% | lit_0_4:dE=-0.1%/dt=-0.0% | lit_0_5:dE=0.1%/dt=+0.1% | lit_0_6:dE=-1.7%/dt=-0.0% | lit_0_8:dE=-5.6%/dt=+0.0% | lit_1_0:dE=-11.7%/dt=-0.1%
