benchmark,combo_label,block,cpu_level,other_level,n,baseline_E_J,cpu_only_dE_pct,other_only_dE_pct,predicted_dE_pct,measured_dE_pct,residual_dE_pct,predicted_dt_pct,measured_dt_pct,residual_dt_pct,status
cpu-dgemm,B_cpu3.5_gpu1.0,B_cpu_x_gpu_grid,lit_3_5GHz,lit_1_0GHz,60,13098,-1.0,-5.7,-6.7,-13.0,-6.4,+1.4,-1.4,-2.8,ok
cpu-dgemm,B_cpu3.5_gpu1.6,B_cpu_x_gpu_grid,lit_3_5GHz,lit_1_6GHz,60,13098,-1.0,-6.3,-7.2,-9.8,-2.5,+1.5,-2.3,-3.8,ok
cpu-dgemm,C_cpu1.0_unc0.8,C_cpu_x_uncore_grid,lit_1_0GHz,lit_0_8GHz,150,13098,+54.7,-16.4,+38.3,+75.8,+37.4,+97.1,+118.6,+21.5,ok
cpu-dgemm,C_cpu1.0_unc1.6,C_cpu_x_uncore_grid,lit_1_0GHz,lit_1_6GHz,150,13098,+54.7,-2.7,+52.0,+55.8,+3.8,+99.5,+101.8,+2.4,ok
cpu-dgemm,C_cpu1.0_unc2.3,C_cpu_x_uncore_grid,lit_1_0GHz,lit_2_3GHz,150,13098,+54.7,+1.7,+56.4,+54.4,-2.0,+101.4,+100.4,-1.0,ok
cpu-dgemm,C_cpu2.0_unc0.8,C_cpu_x_uncore_grid,lit_2_0GHz,lit_0_8GHz,144,13098,-9.3,-16.4,-25.6,-12.7,+13.0,+2.6,+9.7,+7.1,ok
cpu-dgemm,C_cpu2.0_unc1.6,C_cpu_x_uncore_grid,lit_2_0GHz,lit_1_6GHz,113,13098,-9.3,-2.7,-12.0,-7.2,+4.8,+5.0,+10.6,+5.6,ok
cpu-dgemm,C_cpu2.0_unc2.3,C_cpu_x_uncore_grid,lit_2_0GHz,lit_2_3GHz,92,13098,-9.3,+1.7,-7.6,-8.8,-1.2,+7.0,+7.2,+0.3,ok
cpu-dgemm,C_cpu3.5_unc0.8,C_cpu_x_uncore_grid,lit_3_5GHz,lit_0_8GHz,90,13098,-1.0,-16.4,-17.4,-26.5,-9.2,-5.2,-10.2,-5.0,ok
cpu-dgemm,C_cpu3.5_unc1.6,C_cpu_x_uncore_grid,lit_3_5GHz,lit_1_6GHz,90,13098,-1.0,-2.7,-3.7,-10.3,-6.6,-2.8,-5.0,-2.2,ok
