benchmark,combo_label,block,n,median_runtime_s,median_energy_j,mean_runtime_s,mean_energy_j,std_energy_j
cpu-dgemm,B_cpu3.5_gpu0.4,B_cpu_x_gpu_grid,60,7.8393,10906.20,7.9306,11126.96,1416.12
cpu-dgemm,B_cpu3.5_gpu1.0,B_cpu_x_gpu_grid,60,7.9464,11393.42,7.9678,11567.10,1313.50
cpu-dgemm,B_cpu3.5_gpu1.6,B_cpu_x_gpu_grid,60,7.8697,11819.26,7.9360,11895.12,1247.49
cpu-dgemm,C_cpu1.0_unc0.8,C_cpu_x_uncore_grid,150,17.6105,23021.79,17.7340,23278.19,2180.71
cpu-dgemm,C_cpu1.0_unc1.6,C_cpu_x_uncore_grid,150,16.2605,20413.26,16.3046,20535.51,876.92
cpu-dgemm,C_cpu1.0_unc2.3,C_cpu_x_uncore_grid,150,16.1436,20230.17,16.1615,20321.46,778.33
cpu-dgemm,C_cpu2.0_unc0.8,C_cpu_x_uncore_grid,144,8.8388,11440.48,9.0525,11859.67,1611.77
cpu-dgemm,C_cpu2.0_unc1.6,C_cpu_x_uncore_grid,113,8.9058,12160.73,8.9932,12290.06,1097.54
cpu-dgemm,C_cpu2.0_unc2.3,C_cpu_x_uncore_grid,92,8.6393,11947.87,8.7370,12171.90,993.60
cpu-dgemm,C_cpu3.5_unc0.8,C_cpu_x_uncore_grid,90,7.2363,9623.76,7.6676,10725.37,2752.10
cpu-dgemm,C_cpu3.5_unc1.6,C_cpu_x_uncore_grid,90,7.6564,11754.98,7.6259,11726.37,1121.16
cpu-dgemm,C_cpu3.5_unc2.3,C_cpu_x_uncore_grid,90,7.9235,12655.42,7.9914,12845.65,1228.65
cpu-dgemm,D_gpu0.4_pf0,D_gpu_x_pf_corners,90,7.8557,11231.35,7.9340,11236.00,1162.51
cpu-dgemm,D_gpu0.4_pf1,D_gpu_x_pf_corners,90,8.0193,10050.15,8.0441,10082.07,872.16
cpu-dgemm,D_gpu1.6_pf0,D_gpu_x_pf_corners,90,8.0311,12135.06,8.0935,12363.64,1167.90
cpu-dgemm,D_gpu1.6_pf1,D_gpu_x_pf_corners,90,7.9970,11069.77,8.1245,11323.55,1040.03
cpu-dgemm,E_cpu1.0_pl175,E_cpu_x_cpu_pl_corners,271,52.2196,89913.87,51.4843,89098.16,8082.28
cpu-dgemm,E_cpu1.0_pl_default,E_cpu_x_cpu_pl_corners,327,16.1950,20519.35,16.2475,20537.55,910.76
cpu-dgemm,E_cpu3.5_pl_default,E_cpu_x_cpu_pl_corners,2,7.6745,12133.54,7.6745,12133.54,1546.85
dgemm-gpu,A0_all_max,A_agent_arms,80,14.4261,43509.37,14.4925,43667.75,559.52
dgemm-gpu,A1_memory_bound_save,A_agent_arms,80,44.7050,68140.94,44.5709,68314.69,821.04
dgemm-gpu,A2_gpu_compute_max,A_agent_arms,80,18.2882,47203.49,18.2905,47151.98,265.11
dgemm-gpu,A3_cpu_compute_uncore_save,A_agent_arms,80,44.7322,76541.43,44.7721,76572.43,633.34
dgemm-gpu,A4_comm_wait_save,A_agent_arms,80,44.9127,67797.70,44.8121,67790.28,508.56
dgemm-gpu,A5_comm_collective_safe,A_agent_arms,80,44.8392,82125.03,44.7895,82163.75,656.99
dgemm-gpu,A6_bursty_gpu_idle,A_agent_arms,7,44.7216,70815.56,44.6232,70816.15,509.08
