benchmark,knob,level,n,median_runtime_s,median_energy_j,mean_runtime_s,mean_energy_j,std_energy_j
babelstream,DRAM_POWER_LIMIT_CONTROL,rb_80,50,34.8102,115950.30,34.8426,115978.65,888.96
babelstream,DRAM_POWER_LIMIT_CONTROL,rb_90,50,34.8105,116008.03,34.8087,115875.96,749.38
babelstream,GPU_CORE_FREQUENCY_MAX_CONTROL,default,50,34.8188,115833.79,34.8613,115991.87,920.41
babelstream,GPU_CORE_FREQUENCY_MAX_CONTROL,lit_0_4GHz,50,72.0146,167249.27,71.7740,167780.39,4583.14
babelstream,GPU_CORE_FREQUENCY_MAX_CONTROL,lit_0_6GHz,50,47.9164,130326.52,47.8878,130576.75,3041.78
babelstream,GPU_CORE_FREQUENCY_MAX_CONTROL,lit_0_8GHz,50,37.2384,114324.70,38.1148,115400.12,4273.77
babelstream,GPU_CORE_FREQUENCY_MAX_CONTROL,lit_1_0GHz,50,35.1490,113485.21,35.1309,113468.03,1001.95
babelstream,GPU_CORE_FREQUENCY_MAX_CONTROL,lit_1_2GHz,50,34.8792,115759.30,34.8771,115708.44,723.03
babelstream,GPU_CORE_FREQUENCY_MAX_CONTROL,lit_1_4GHz,50,34.8278,115746.23,34.8840,115872.38,843.70
babelstream,GPU_CORE_FREQUENCY_MAX_CONTROL,lit_1_6GHz,50,34.8461,116049.01,34.8468,116059.28,746.07
babelstream,GPU_POWER_TIME_WINDOW_CONTROL,default,50,34.8176,115870.49,34.8039,115792.39,727.16
babelstream,GPU_POWER_TIME_WINDOW_CONTROL,rb_double,50,34.8378,115840.44,34.8364,115879.96,759.32
babelstream,GPU_POWER_TIME_WINDOW_CONTROL,rb_half,50,34.7798,115779.75,34.8234,115861.21,840.77
babelstream,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,default,50,34.7864,115672.24,34.8160,115769.20,886.45
babelstream,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,lit_0_0,50,35.1581,117173.12,35.3519,117618.26,1594.54
babelstream,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,lit_0_2,50,34.9072,116193.12,34.9480,116369.69,888.69
babelstream,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,lit_0_4,50,34.7522,115575.69,34.7757,115670.28,904.16
babelstream,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,lit_0_5,50,34.8505,115820.04,34.8328,115862.81,831.93
babelstream,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,lit_0_6,50,35.0011,116314.30,35.0564,116481.24,922.14
babelstream,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,lit_0_8,50,35.5546,117884.57,35.5850,118033.52,764.01
babelstream,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,lit_1_0,50,37.3003,120462.93,37.2930,120459.52,846.32
cpu-dgemm,BOARD_POWER_LIMIT_CONTROL,default,50,23.3596,48243.11,23.7056,49041.12,3734.25
cpu-dgemm,BOARD_POWER_LIMIT_CONTROL,lit_2000W,50,62.3207,103764.17,61.6541,103437.19,36398.79
cpu-dgemm,BOARD_POWER_LIMIT_CONTROL,lit_2500W,50,22.5510,45926.72,23.0296,46971.62,4806.74
cpu-dgemm,BOARD_POWER_LIMIT_CONTROL,lit_3000W,50,23.1490,47503.01,23.4033,48227.22,3786.13
