benchmark,knob,level,n,median_runtime_s,median_energy_j,mean_runtime_s,mean_energy_j,std_energy_j
gpu-bursty-idle,BOARD_POWER_TIME_WINDOW_CONTROL,rb_double,50,45.0537,123788.85,45.0537,123865.83,780.49
gpu-bursty-idle,BOARD_POWER_TIME_WINDOW_CONTROL,rb_half,50,45.0540,123699.51,45.0540,123833.10,774.99
gpu-bursty-idle,CPU_FREQUENCY_MAX_CONTROL,default,50,45.0540,123801.91,45.0541,123880.07,756.34
gpu-bursty-idle,CPU_FREQUENCY_MAX_CONTROL,lit_1_0GHz,50,45.1608,101241.85,45.1608,101227.22,696.17
gpu-bursty-idle,CPU_FREQUENCY_MAX_CONTROL,lit_1_2GHz,50,45.1574,104174.06,45.1574,104110.83,699.29
gpu-bursty-idle,CPU_FREQUENCY_MAX_CONTROL,lit_1_6GHz,50,45.1528,107923.92,45.1528,107974.20,718.59
gpu-bursty-idle,CPU_FREQUENCY_MAX_CONTROL,lit_2_0GHz,50,45.0551,118981.60,45.0550,119045.76,738.88
gpu-bursty-idle,CPU_FREQUENCY_MAX_CONTROL,lit_2_5GHz,50,45.0543,121106.82,45.0544,121178.57,730.23
gpu-bursty-idle,CPU_FREQUENCY_MAX_CONTROL,lit_3_0GHz,50,45.0541,122684.71,45.0540,122715.48,769.86
gpu-bursty-idle,CPU_FREQUENCY_MAX_CONTROL,lit_3_5GHz,50,45.0539,123737.37,45.0537,123836.27,768.43
gpu-bursty-idle,CPU_POWER_LIMIT_CONTROL,default,50,45.0539,123624.76,45.0559,123761.39,773.60
gpu-bursty-idle,CPU_POWER_LIMIT_CONTROL,tdp_100,50,45.0539,123752.91,45.0539,123867.78,796.38
gpu-bursty-idle,CPU_POWER_LIMIT_CONTROL,tdp_30,50,45.0949,54152.65,45.0953,54398.22,2274.14
gpu-bursty-idle,CPU_POWER_LIMIT_CONTROL,tdp_40,50,45.0944,53316.70,45.0950,53669.94,2536.85
gpu-bursty-idle,CPU_POWER_LIMIT_CONTROL,tdp_50,50,45.0637,112200.40,45.0646,111555.43,2195.43
gpu-bursty-idle,CPU_POWER_LIMIT_CONTROL,tdp_60,50,45.0556,119279.55,45.0558,119277.14,711.90
gpu-bursty-idle,CPU_POWER_LIMIT_CONTROL,tdp_70,50,45.0542,122847.09,45.0542,122887.66,742.70
gpu-bursty-idle,CPU_POWER_LIMIT_CONTROL,tdp_80,50,45.0539,123806.51,45.0541,123852.81,751.18
gpu-bursty-idle,CPU_POWER_LIMIT_CONTROL,tdp_90,50,45.0540,123773.76,45.0538,123850.25,764.41
gpu-bursty-idle,CPU_POWER_TIME_WINDOW_CONTROL,default,50,45.0539,123789.92,45.0538,123847.35,784.18
gpu-bursty-idle,CPU_POWER_TIME_WINDOW_CONTROL,rb_double,50,45.0539,123847.96,45.0538,123886.14,756.70
gpu-bursty-idle,CPU_POWER_TIME_WINDOW_CONTROL,rb_half,50,45.0541,123846.51,45.0538,123882.82,787.98
gpu-bursty-idle,CPU_UNCORE_FREQUENCY_MAX_CONTROL,default,50,45.0541,123616.75,45.0553,123660.22,776.66
gpu-bursty-idle,CPU_UNCORE_FREQUENCY_MAX_CONTROL,lit_0_8GHz,50,45.0590,115424.25,45.0592,115421.44,731.74
gpu-bursty-idle,CPU_UNCORE_FREQUENCY_MAX_CONTROL,lit_1_2GHz,50,45.0564,117331.99,45.0563,117355.90,741.39
gpu-bursty-idle,CPU_UNCORE_FREQUENCY_MAX_CONTROL,lit_1_6GHz,50,45.0551,119140.03,45.0550,119219.74,785.30
gpu-bursty-idle,CPU_UNCORE_FREQUENCY_MAX_CONTROL,lit_2_0GHz,50,45.0543,121525.08,45.0544,121616.55,764.92
gpu-bursty-idle,CPU_UNCORE_FREQUENCY_MAX_CONTROL,lit_2_3GHz,50,45.0538,123625.84,45.0537,123783.97,787.63
gpu-bursty-idle,DRAM_POWER_LIMIT_CONTROL,default,50,45.0539,123754.21,45.0538,123805.06,770.99
gpu-bursty-idle,DRAM_POWER_LIMIT_CONTROL,rb_100,50,45.0540,123886.90,45.0539,123895.93,782.58
gpu-bursty-idle,DRAM_POWER_LIMIT_CONTROL,rb_30,50,45.0539,123863.75,45.0540,123934.55,819.70
gpu-bursty-idle,DRAM_POWER_LIMIT_CONTROL,rb_40,50,45.0539,123818.18,45.0538,123924.77,792.97
gpu-bursty-idle,DRAM_POWER_LIMIT_CONTROL,rb_50,50,45.0539,123882.60,45.0538,123888.14,779.68
gpu-bursty-idle,DRAM_POWER_LIMIT_CONTROL,rb_60,50,45.0540,123895.06,45.0539,123944.68,783.49
gpu-bursty-idle,DRAM_POWER_LIMIT_CONTROL,rb_70,50,45.0539,123784.65,45.0538,123909.11,750.58
gpu-bursty-idle,DRAM_POWER_LIMIT_CONTROL,rb_80,50,45.0540,123804.14,45.0539,123852.74,757.23
gpu-bursty-idle,DRAM_POWER_LIMIT_CONTROL,rb_90,50,45.0540,123840.99,45.0538,123896.16,786.93
gpu-bursty-idle,GPU_CORE_FREQUENCY_MAX_CONTROL,default,50,45.0538,123746.60,45.0541,123811.27,789.60
gpu-bursty-idle,GPU_CORE_FREQUENCY_MAX_CONTROL,lit_0_4GHz,50,45.1048,83996.67,45.1029,84697.15,4839.58
gpu-bursty-idle,GPU_CORE_FREQUENCY_MAX_CONTROL,lit_0_6GHz,50,45.0914,84426.77,45.0917,85473.49,4761.19
gpu-bursty-idle,GPU_CORE_FREQUENCY_MAX_CONTROL,lit_0_8GHz,50,45.0863,85290.52,45.0855,86387.23,4714.79
gpu-bursty-idle,GPU_CORE_FREQUENCY_MAX_CONTROL,lit_1_0GHz,50,45.0843,86143.07,45.0833,87040.14,4657.70
gpu-bursty-idle,GPU_CORE_FREQUENCY_MAX_CONTROL,lit_1_2GHz,50,45.0824,86606.20,45.0818,87670.99,4673.97
gpu-bursty-idle,GPU_CORE_FREQUENCY_MAX_CONTROL,lit_1_4GHz,50,45.0763,87480.27,45.0762,88757.52,4744.68
gpu-bursty-idle,GPU_CORE_FREQUENCY_MAX_CONTROL,lit_1_6GHz,50,45.0788,88699.87,45.0781,89941.92,4691.42
gpu-bursty-idle,GPU_POWER_TIME_WINDOW_CONTROL,default,50,45.0539,123750.80,45.0540,123884.21,775.33
gpu-bursty-idle,GPU_POWER_TIME_WINDOW_CONTROL,rb_double,50,45.0539,123780.43,45.0541,123883.12,758.83
gpu-bursty-idle,GPU_POWER_TIME_WINDOW_CONTROL,rb_half,50,45.0540,123785.60,45.0539,123899.61,774.92
gpu-bursty-idle,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,default,50,45.0540,123523.58,45.0540,123664.93,823.81
gpu-bursty-idle,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,lit_0_0,50,45.0539,123643.54,45.0538,123741.25,740.50
gpu-bursty-idle,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,lit_0_2,50,45.0539,123683.66,45.0538,123792.50,773.03
gpu-bursty-idle,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,lit_0_4,50,45.0540,123815.94,45.0540,123823.49,752.07
gpu-bursty-idle,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,lit_0_5,50,45.0538,123747.31,45.0538,123821.03,784.60
gpu-bursty-idle,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,lit_0_6,50,45.0544,119752.79,45.0542,119731.45,737.05
gpu-bursty-idle,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,lit_0_8,50,45.0556,111269.03,45.0556,111166.38,635.43
gpu-bursty-idle,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,lit_1_0,50,45.0591,99925.44,45.0591,99912.39,529.76
mpi-idle-wait,BOARD_POWER_LIMIT_CONTROL,default,50,22.5261,45134.11,22.5261,45103.74,583.82
mpi-idle-wait,BOARD_POWER_LIMIT_CONTROL,lit_2000W,50,22.5461,35856.54,22.5714,33772.41,4349.31
mpi-idle-wait,BOARD_POWER_LIMIT_CONTROL,lit_2500W,50,22.5258,44789.58,22.5259,44837.82,376.10
mpi-idle-wait,BOARD_POWER_LIMIT_CONTROL,lit_3000W,50,22.5260,44962.04,22.5260,44917.41,390.97
mpi-idle-wait,BOARD_POWER_LIMIT_CONTROL,lit_3500W,50,22.5261,44830.99,22.5260,44840.93,405.00
mpi-idle-wait,BOARD_POWER_LIMIT_CONTROL,lit_4000W,50,22.5260,44851.07,22.5259,44861.42,420.14
mpi-idle-wait,BOARD_POWER_LIMIT_CONTROL,lit_4500W,50,22.5260,44935.44,22.5260,44925.07,381.20
mpi-idle-wait,BOARD_POWER_LIMIT_CONTROL,lit_5000W,50,22.5259,44884.64,22.5258,44864.74,431.27
mpi-idle-wait,BOARD_POWER_LIMIT_CONTROL,lit_5500W,50,22.5258,44888.83,22.5259,44877.67,399.00
mpi-idle-wait,BOARD_POWER_TIME_WINDOW_CONTROL,default,50,22.5260,45408.91,22.5259,45398.06,411.28
mpi-idle-wait,BOARD_POWER_TIME_WINDOW_CONTROL,rb_double,50,22.5259,45449.36,22.5259,45448.73,370.38
mpi-idle-wait,BOARD_POWER_TIME_WINDOW_CONTROL,rb_half,50,22.5258,45465.49,22.5259,45444.13,391.43
mpi-idle-wait,CPU_FREQUENCY_MAX_CONTROL,default,50,22.5260,45045.30,22.5258,45100.16,410.13
mpi-idle-wait,CPU_FREQUENCY_MAX_CONTROL,lit_1_0GHz,50,22.5698,34485.39,22.5702,34479.17,332.85
mpi-idle-wait,CPU_FREQUENCY_MAX_CONTROL,lit_1_2GHz,50,22.5795,36111.67,22.5794,36098.03,337.04
mpi-idle-wait,CPU_FREQUENCY_MAX_CONTROL,lit_1_6GHz,50,22.5438,38101.85,22.5443,38091.89,320.02
mpi-idle-wait,CPU_FREQUENCY_MAX_CONTROL,lit_2_0GHz,50,22.5273,42602.65,22.5265,42619.47,403.15
mpi-idle-wait,CPU_FREQUENCY_MAX_CONTROL,lit_2_5GHz,50,22.5331,43731.64,22.5330,43756.02,385.31
mpi-idle-wait,CPU_FREQUENCY_MAX_CONTROL,lit_3_0GHz,50,22.5302,44507.52,22.5301,44539.18,357.45
mpi-idle-wait,CPU_FREQUENCY_MAX_CONTROL,lit_3_5GHz,50,22.5260,45139.03,22.5259,45171.09,399.67
mpi-idle-wait,CPU_POWER_LIMIT_CONTROL,default,50,22.5259,44888.51,22.5258,44858.43,399.88
mpi-idle-wait,CPU_POWER_LIMIT_CONTROL,tdp_100,50,22.5260,44901.03,22.5258,44890.85,392.95
mpi-idle-wait,CPU_POWER_LIMIT_CONTROL,tdp_30,42,22.6745,3762.68,22.6743,3872.27,1669.29
mpi-idle-wait,CPU_POWER_LIMIT_CONTROL,tdp_40,49,22.6732,4444.06,22.6732,4636.22,1693.86
mpi-idle-wait,CPU_POWER_LIMIT_CONTROL,tdp_50,50,22.5602,40523.99,22.5628,40576.86,609.74
mpi-idle-wait,CPU_POWER_LIMIT_CONTROL,tdp_60,50,22.5354,42986.81,22.5359,43004.66,261.07
mpi-idle-wait,CPU_POWER_LIMIT_CONTROL,tdp_70,50,22.5307,44278.19,22.5308,44311.87,320.91
mpi-idle-wait,CPU_POWER_LIMIT_CONTROL,tdp_80,50,22.5258,44962.75,22.5259,44914.43,429.06
mpi-idle-wait,CPU_POWER_LIMIT_CONTROL,tdp_90,50,22.5260,44909.74,22.5260,44899.23,372.91
mpi-idle-wait,CPU_POWER_TIME_WINDOW_CONTROL,default,50,22.5261,45427.61,22.5260,45398.35,444.76
mpi-idle-wait,CPU_POWER_TIME_WINDOW_CONTROL,rb_double,50,22.5260,45499.53,22.5258,45475.99,352.51
mpi-idle-wait,CPU_POWER_TIME_WINDOW_CONTROL,rb_half,50,22.5262,45478.06,22.5261,45476.29,342.22
mpi-idle-wait,CPU_UNCORE_FREQUENCY_MAX_CONTROL,default,50,22.5258,45277.29,22.5258,45149.62,645.61
mpi-idle-wait,CPU_UNCORE_FREQUENCY_MAX_CONTROL,lit_0_8GHz,50,22.5271,42255.04,22.5270,42293.90,315.62
mpi-idle-wait,CPU_UNCORE_FREQUENCY_MAX_CONTROL,lit_1_2GHz,50,22.5264,43015.16,22.5264,42991.88,296.07
mpi-idle-wait,CPU_UNCORE_FREQUENCY_MAX_CONTROL,lit_1_6GHz,50,22.5262,43544.18,22.5262,43525.91,304.04
mpi-idle-wait,CPU_UNCORE_FREQUENCY_MAX_CONTROL,lit_2_0GHz,50,22.5260,44421.80,22.5260,44409.27,328.59
mpi-idle-wait,CPU_UNCORE_FREQUENCY_MAX_CONTROL,lit_2_3GHz,50,22.5260,45406.33,22.5259,45352.04,364.48
mpi-idle-wait,DRAM_POWER_LIMIT_CONTROL,default,50,22.5262,44897.05,22.5259,44843.29,426.41
mpi-idle-wait,DRAM_POWER_LIMIT_CONTROL,rb_100,50,22.5258,44970.16,22.5258,44936.89,415.14
mpi-idle-wait,DRAM_POWER_LIMIT_CONTROL,rb_30,50,22.5258,44965.11,22.5259,44996.15,423.23
mpi-idle-wait,DRAM_POWER_LIMIT_CONTROL,rb_40,50,22.5259,45006.04,22.5259,44995.55,339.12
mpi-idle-wait,DRAM_POWER_LIMIT_CONTROL,rb_50,50,22.5260,44868.21,22.5259,44900.49,402.94
mpi-idle-wait,DRAM_POWER_LIMIT_CONTROL,rb_60,50,22.5260,44815.25,22.5259,44810.05,424.86
mpi-idle-wait,DRAM_POWER_LIMIT_CONTROL,rb_70,50,22.5259,44820.87,22.5259,44850.85,403.14
mpi-idle-wait,DRAM_POWER_LIMIT_CONTROL,rb_80,50,22.5260,44892.85,22.5259,44897.35,381.36
mpi-idle-wait,DRAM_POWER_LIMIT_CONTROL,rb_90,50,22.5258,44821.11,22.5258,44842.47,416.81
mpi-idle-wait,GPU_CORE_FREQUENCY_MAX_CONTROL,default,50,22.5260,45273.77,22.5260,45331.01,417.18
mpi-idle-wait,GPU_CORE_FREQUENCY_MAX_CONTROL,lit_0_4GHz,50,22.5260,39227.08,22.5258,38892.70,1889.44
mpi-idle-wait,GPU_CORE_FREQUENCY_MAX_CONTROL,lit_0_6GHz,50,22.5262,39281.17,22.5260,39042.89,1842.70
mpi-idle-wait,GPU_CORE_FREQUENCY_MAX_CONTROL,lit_0_8GHz,50,22.5256,39469.53,22.5256,39252.81,1760.28
mpi-idle-wait,GPU_CORE_FREQUENCY_MAX_CONTROL,lit_1_0GHz,50,22.5259,39682.00,22.5258,39445.00,1675.01
mpi-idle-wait,GPU_CORE_FREQUENCY_MAX_CONTROL,lit_1_2GHz,50,22.5258,40014.19,22.5258,39770.32,1592.65
mpi-idle-wait,GPU_CORE_FREQUENCY_MAX_CONTROL,lit_1_4GHz,50,22.5260,40405.02,22.5259,40145.25,1346.69
mpi-idle-wait,GPU_CORE_FREQUENCY_MAX_CONTROL,lit_1_6GHz,50,22.5256,38906.07,22.5258,38789.90,1795.76
mpi-idle-wait,GPU_POWER_TIME_WINDOW_CONTROL,default,50,22.5258,45473.14,22.5257,45471.52,350.18
mpi-idle-wait,GPU_POWER_TIME_WINDOW_CONTROL,rb_double,50,22.5256,45451.01,22.5257,45392.09,394.00
mpi-idle-wait,GPU_POWER_TIME_WINDOW_CONTROL,rb_half,50,22.5260,45530.19,22.5258,45495.75,355.63
mpi-idle-wait,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,default,50,22.5258,45456.79,22.5258,45432.86,366.32
mpi-idle-wait,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,lit_0_0,50,22.5260,45400.53,22.5262,45445.66,365.23
mpi-idle-wait,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,lit_0_2,50,22.5261,45406.39,22.5260,45429.05,351.09
mpi-idle-wait,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,lit_0_4,50,22.5260,45379.22,22.5260,45402.34,382.00
mpi-idle-wait,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,lit_0_5,50,22.5259,45430.53,22.5261,45432.53,405.58
mpi-idle-wait,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,lit_0_6,50,22.5258,44496.84,22.5259,44525.13,347.00
mpi-idle-wait,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,lit_0_8,50,22.5260,42069.74,22.5259,42070.34,317.90
mpi-idle-wait,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,lit_1_0,50,22.5256,39132.30,22.5258,39113.35,344.20
osu,BOARD_POWER_LIMIT_CONTROL,default,50,28.7939,65593.51,28.7862,65801.47,867.17
osu,BOARD_POWER_LIMIT_CONTROL,lit_2000W,50,57.2844,107118.02,71.0158,134503.01,56381.92
osu,BOARD_POWER_LIMIT_CONTROL,lit_2500W,50,28.7951,64675.82,28.7684,64770.26,628.96
osu,BOARD_POWER_LIMIT_CONTROL,lit_3000W,50,28.8259,64920.04,28.8115,64911.18,650.05
osu,BOARD_POWER_LIMIT_CONTROL,lit_3500W,50,28.7088,64672.56,28.7258,64735.71,527.96
osu,BOARD_POWER_LIMIT_CONTROL,lit_4000W,50,28.7972,64882.03,28.8103,64877.53,510.68
osu,BOARD_POWER_LIMIT_CONTROL,lit_4500W,50,28.7627,64735.08,28.7754,64843.17,567.28
osu,BOARD_POWER_LIMIT_CONTROL,lit_5000W,50,28.8312,64899.30,28.8105,64947.25,572.80
osu,BOARD_POWER_LIMIT_CONTROL,lit_5500W,50,28.8357,64878.51,28.8257,64917.23,643.69
osu,BOARD_POWER_TIME_WINDOW_CONTROL,default,50,28.8384,65669.28,28.8162,65702.95,553.95
osu,BOARD_POWER_TIME_WINDOW_CONTROL,rb_double,50,28.8409,65647.02,28.8095,65654.25,508.79
osu,BOARD_POWER_TIME_WINDOW_CONTROL,rb_half,50,28.7799,65489.93,28.8102,65644.34,682.70
osu,CPU_FREQUENCY_MAX_CONTROL,default,50,28.7231,64992.57,28.7557,65116.91,670.67
osu,CPU_FREQUENCY_MAX_CONTROL,lit_1_0GHz,50,88.3563,180170.90,88.3112,180493.31,1837.22
osu,CPU_FREQUENCY_MAX_CONTROL,lit_1_2GHz,50,78.0714,160122.80,78.1441,160288.11,1351.64
osu,CPU_FREQUENCY_MAX_CONTROL,lit_1_6GHz,50,65.3238,135193.02,65.3809,135010.22,1494.97
osu,CPU_FREQUENCY_MAX_CONTROL,lit_2_0GHz,50,40.9354,90757.18,40.9445,90871.64,685.59
osu,CPU_FREQUENCY_MAX_CONTROL,lit_2_5GHz,50,34.6569,77525.86,34.6957,77495.52,756.38
osu,CPU_FREQUENCY_MAX_CONTROL,lit_3_0GHz,50,31.3533,70421.21,31.2869,70414.99,536.37
osu,CPU_FREQUENCY_MAX_CONTROL,lit_3_5GHz,50,28.7702,65275.96,28.7745,65252.58,506.43
osu,CPU_POWER_LIMIT_CONTROL,default,50,28.8015,64786.91,28.7926,64912.49,580.25
osu,CPU_POWER_LIMIT_CONTROL,tdp_100,50,28.7241,64760.01,28.7460,64788.02,550.82
osu,CPU_POWER_LIMIT_CONTROL,tdp_30,50,292.0975,583599.65,292.0898,583665.37,4348.09
osu,CPU_POWER_LIMIT_CONTROL,tdp_40,50,292.3580,584693.90,292.4210,584451.21,4304.58
osu,CPU_POWER_LIMIT_CONTROL,tdp_50,50,95.3436,202245.37,100.2872,212631.84,38927.98
osu,CPU_POWER_LIMIT_CONTROL,tdp_60,50,49.2100,107226.62,48.9430,106513.25,4285.19
osu,CPU_POWER_LIMIT_CONTROL,tdp_70,50,36.3792,80498.89,36.3449,80533.87,1796.11
osu,CPU_POWER_LIMIT_CONTROL,tdp_80,50,31.1637,69720.00,31.2738,69922.10,1352.88
osu,CPU_POWER_LIMIT_CONTROL,tdp_90,50,28.7959,64736.08,28.7849,64872.03,660.46
osu,CPU_POWER_TIME_WINDOW_CONTROL,default,50,28.7876,65476.74,28.7913,65600.29,631.67
osu,CPU_POWER_TIME_WINDOW_CONTROL,rb_double,50,28.7858,65517.22,28.7609,65538.39,560.16
osu,CPU_POWER_TIME_WINDOW_CONTROL,rb_half,50,28.7312,65356.95,28.7336,65485.29,560.73
osu,CPU_UNCORE_FREQUENCY_MAX_CONTROL,default,50,28.8819,65813.59,28.9497,65751.52,1070.00
osu,CPU_UNCORE_FREQUENCY_MAX_CONTROL,lit_0_8GHz,50,48.0936,102896.84,47.9876,102913.03,1450.20
osu,CPU_UNCORE_FREQUENCY_MAX_CONTROL,lit_1_2GHz,50,37.4881,80672.80,37.5000,80923.76,1041.24
osu,CPU_UNCORE_FREQUENCY_MAX_CONTROL,lit_1_6GHz,50,32.7387,71634.53,32.8093,71664.98,731.09
osu,CPU_UNCORE_FREQUENCY_MAX_CONTROL,lit_2_0GHz,50,30.1209,67113.50,30.1365,67186.43,503.71
osu,CPU_UNCORE_FREQUENCY_MAX_CONTROL,lit_2_3GHz,50,28.7974,65546.09,28.7625,65471.71,706.77
osu,DRAM_POWER_LIMIT_CONTROL,default,50,28.8083,64957.86,28.8040,64937.64,539.79
osu,DRAM_POWER_LIMIT_CONTROL,rb_100,50,28.7960,64796.04,28.7811,64863.07,608.25
osu,DRAM_POWER_LIMIT_CONTROL,rb_30,50,28.8263,65120.21,28.8252,65184.25,581.20
osu,DRAM_POWER_LIMIT_CONTROL,rb_40,50,28.7782,65067.33,28.7851,64994.55,584.84
osu,DRAM_POWER_LIMIT_CONTROL,rb_50,50,28.7957,64930.42,28.8080,64978.62,602.19
osu,DRAM_POWER_LIMIT_CONTROL,rb_60,50,28.7419,64812.62,28.7681,64879.03,580.51
osu,DRAM_POWER_LIMIT_CONTROL,rb_70,50,28.7668,64842.34,28.7729,64862.07,543.48
osu,DRAM_POWER_LIMIT_CONTROL,rb_80,50,28.7931,64925.42,28.7925,64926.46,556.09
osu,DRAM_POWER_LIMIT_CONTROL,rb_90,50,28.8056,64895.01,28.7943,64915.60,506.32
osu,GPU_CORE_FREQUENCY_MAX_CONTROL,default,50,28.7581,65628.83,28.7750,65558.31,529.49
osu,GPU_CORE_FREQUENCY_MAX_CONTROL,lit_0_4GHz,50,28.7449,55766.65,28.7873,55501.24,2723.05
osu,GPU_CORE_FREQUENCY_MAX_CONTROL,lit_0_6GHz,50,28.8009,56368.52,28.8247,55762.47,2752.75
osu,GPU_CORE_FREQUENCY_MAX_CONTROL,lit_0_8GHz,50,28.7850,56415.80,28.7978,56028.04,2641.05
osu,GPU_CORE_FREQUENCY_MAX_CONTROL,lit_1_0GHz,50,28.8205,56787.21,28.7998,56500.42,2376.06
osu,GPU_CORE_FREQUENCY_MAX_CONTROL,lit_1_2GHz,50,28.7520,57359.31,28.7815,56864.65,2407.75
osu,GPU_CORE_FREQUENCY_MAX_CONTROL,lit_1_4GHz,50,28.7940,57959.47,28.8084,57724.00,2157.89
osu,GPU_CORE_FREQUENCY_MAX_CONTROL,lit_1_6GHz,50,28.8383,55681.77,28.8111,55609.67,2687.85
osu,GPU_POWER_TIME_WINDOW_CONTROL,default,50,28.7807,65597.02,28.7929,65611.80,657.55
osu,GPU_POWER_TIME_WINDOW_CONTROL,rb_double,50,28.8402,65559.95,28.8068,65629.22,596.68
osu,GPU_POWER_TIME_WINDOW_CONTROL,rb_half,50,28.7012,65383.83,28.7261,65471.97,501.51
osu,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,default,50,28.8504,65845.92,28.8722,65819.59,632.36
osu,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,lit_0_0,50,28.8247,65520.12,28.8033,65640.09,582.97
osu,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,lit_0_2,50,28.7638,65600.28,28.8075,65667.76,604.08
osu,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,lit_0_4,50,28.7745,65578.90,28.7721,65576.22,599.62
osu,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,lit_0_5,50,28.7340,65636.93,28.7890,65607.10,569.65
osu,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,lit_0_6,50,28.7858,64379.24,28.8088,64402.59,605.29
osu,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,lit_0_8,50,28.7889,60820.60,28.7797,60855.72,522.99
osu,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,lit_1_0,50,28.7923,56744.64,28.8108,56790.99,448.89
stream,BOARD_POWER_LIMIT_CONTROL,default,50,9.9081,11316.25,10.1173,11429.56,593.08
stream,BOARD_POWER_LIMIT_CONTROL,lit_2000W,8,10.8564,3362.43,10.7508,3318.00,2010.58
stream,BOARD_POWER_LIMIT_CONTROL,lit_2500W,50,9.9479,10083.41,9.9741,10082.52,491.08
stream,BOARD_POWER_LIMIT_CONTROL,lit_3000W,50,9.9310,10965.50,9.9309,10984.30,472.93
stream,BOARD_POWER_LIMIT_CONTROL,lit_3500W,50,9.9433,11100.08,9.9378,11031.02,440.89
stream,BOARD_POWER_LIMIT_CONTROL,lit_4000W,50,9.9382,11052.74,9.9310,11040.93,488.37
stream,BOARD_POWER_LIMIT_CONTROL,lit_4500W,50,9.9403,11051.43,9.9503,11050.33,420.81
stream,BOARD_POWER_LIMIT_CONTROL,lit_5000W,50,9.9458,11241.32,9.9442,11213.24,312.60
stream,BOARD_POWER_LIMIT_CONTROL,lit_5500W,50,9.9420,11163.83,9.9395,11214.16,331.13
stream,BOARD_POWER_TIME_WINDOW_CONTROL,default,50,9.9320,10987.74,9.9333,10985.01,392.75
stream,BOARD_POWER_TIME_WINDOW_CONTROL,rb_double,50,9.9373,10933.50,9.9380,10902.22,407.58
stream,BOARD_POWER_TIME_WINDOW_CONTROL,rb_half,50,9.9416,10836.64,9.9413,10854.87,459.46
stream,CPU_FREQUENCY_MAX_CONTROL,default,50,9.9751,11155.68,9.9753,11114.88,456.73
stream,CPU_FREQUENCY_MAX_CONTROL,lit_1_0GHz,50,9.9758,3537.00,9.9937,3535.29,353.48
stream,CPU_FREQUENCY_MAX_CONTROL,lit_1_2GHz,50,9.9325,5925.54,9.9341,5919.17,244.30
stream,CPU_FREQUENCY_MAX_CONTROL,lit_1_6GHz,50,9.9223,9090.38,9.9289,9133.54,320.45
stream,CPU_FREQUENCY_MAX_CONTROL,lit_2_0GHz,50,9.9585,10776.23,9.9511,10717.35,373.14
stream,CPU_FREQUENCY_MAX_CONTROL,lit_2_5GHz,50,9.9256,11119.66,9.9287,11124.05,400.00
stream,CPU_FREQUENCY_MAX_CONTROL,lit_3_0GHz,50,9.9349,11173.15,9.9327,11138.16,397.11
stream,CPU_FREQUENCY_MAX_CONTROL,lit_3_5GHz,50,9.9630,11173.97,9.9636,11208.43,453.86
stream,CPU_POWER_LIMIT_CONTROL,default,50,9.9304,11172.76,9.9282,11226.10,396.20
stream,CPU_POWER_LIMIT_CONTROL,tdp_100,50,9.9357,11104.57,9.9343,11059.48,428.51
stream,CPU_POWER_LIMIT_CONTROL,tdp_60,1,18.2064,2138.26,18.2064,2138.26,0.00
stream,CPU_POWER_LIMIT_CONTROL,tdp_70,44,12.1397,1668.58,12.2161,2165.24,1549.91
stream,CPU_POWER_LIMIT_CONTROL,tdp_80,50,10.8743,7818.54,10.8879,7996.77,1358.91
stream,CPU_POWER_LIMIT_CONTROL,tdp_90,50,10.3330,10504.15,10.4307,10521.51,1174.49
stream,CPU_POWER_TIME_WINDOW_CONTROL,default,50,9.9449,10889.60,9.9372,10839.93,437.00
stream,CPU_POWER_TIME_WINDOW_CONTROL,rb_double,50,9.9372,11014.10,9.9351,10946.17,435.63
