benchmark,knob,level,scaling_n,prod_n,scaling_dE_pct,prod_dE_pct,delta_dE_pct,scaling_dt_pct,prod_dt_pct,delta_dt_pct
babelstream,DRAM_POWER_LIMIT_CONTROL,rb_90,60,50,-0.1,+0.1,+0.2,+0.0,-0.0,-0.1
babelstream,GPU_CORE_FREQUENCY_MAX_CONTROL,lit_0_4GHz,60,50,+51.7,+44.3,-7.3,+105.2,+106.8,+1.6
babelstream,GPU_CORE_FREQUENCY_MAX_CONTROL,lit_0_6GHz,60,50,+14.5,+12.5,-2.1,+36.9,+37.6,+0.7
babelstream,GPU_CORE_FREQUENCY_MAX_CONTROL,lit_0_8GHz,60,50,+0.4,-1.3,-1.7,+8.3,+6.9,-1.4
babelstream,GPU_CORE_FREQUENCY_MAX_CONTROL,lit_1_0GHz,60,50,-2.3,-2.1,+0.3,+1.0,+0.9,-0.1
babelstream,GPU_CORE_FREQUENCY_MAX_CONTROL,lit_1_2GHz,60,50,-0.2,-0.1,+0.1,-0.1,+0.2,+0.3
babelstream,GPU_CORE_FREQUENCY_MAX_CONTROL,lit_1_4GHz,60,50,-0.1,-0.1,-0.1,-0.0,+0.0,+0.0
babelstream,GPU_CORE_FREQUENCY_MAX_CONTROL,lit_1_6GHz,60,50,+0.4,+0.1,-0.2,+0.1,+0.1,-0.0
babelstream,GPU_POWER_TIME_WINDOW_CONTROL,rb_double,60,50,+0.1,-0.0,-0.1,+0.0,+0.0,+0.0
babelstream,GPU_POWER_TIME_WINDOW_CONTROL,rb_half,60,50,+0.0,-0.1,-0.1,+0.1,-0.1,-0.3
babelstream,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,lit_0_0,59,50,+1.5,+1.1,-0.4,+1.4,+1.0,-0.4
babelstream,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,lit_0_2,60,50,+0.4,+0.3,-0.1,+0.0,+0.2,+0.2
babelstream,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,lit_0_4,60,50,-0.1,-0.3,-0.1,-0.3,-0.2,+0.1
babelstream,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,lit_0_5,60,50,+0.4,-0.1,-0.4,+0.4,+0.1,-0.3
